Date,Product Name,Units Sold,Revenue,Inventory Level,Category,Region
2023-01-04,Ergonomic Chair,6,1466.02,76,Furniture,South
2023-01-04,SmartPhone X,6,4452.02,136,Electronics,North
2023-01-04,Wireless Earbuds,7,968.83,211,Electronics,South
2023-01-04,Coffee Table,2,340.46,44,Furniture,South
2023-01-04,Winter Jacket,21,3371.18,105,Apparel,East
2023-01-04,Winter Jacket,3,527.64,118,Apparel,East
2023-01-04,Office Desk,4,1512.12,65,Furniture,Central
2023-01-04,SmartPhone X,5,3871.22,111,Electronics,West
2023-01-04,Wireless Earbuds,2,313.56,191,Electronics,South
2023-01-04,Yoga Mat,3,113.13,132,Health,West
2023-01-04,SmartPhone X,0,0.0,119,Electronics,Central
2023-01-04,Protein Powder,0,0.0,294,Health,North
2023-01-04,Protein Powder,6,245.11,291,Health,West
2023-01-04,Wireless Earbuds,7,1084.34,217,Electronics,North
2023-01-04,Protein Powder,1,37.29,306,Health,West
2023-01-05,Multivitamins,4,98.97,416,Health,South
2023-01-05,SmartPhone X,7,5237.04,112,Electronics,South
2023-01-05,Office Desk,0,0.0,54,Furniture,North
2023-01-05,Running Shoes,3,350.39,146,Apparel,East
2023-01-05,Multivitamins,5,130.52,388,Health,Central
2023-01-05,Laptop Pro,2,2465.44,90,Electronics,South
2023-01-05,Multivitamins,4,109.58,406,Health,Central
2023-01-05,Coffee Table,4,778.48,55,Furniture,West
2023-01-05,Protein Powder,1,38.8,288,Health,South
2023-01-05,Running Shoes,0,0.0,167,Apparel,East
2023-01-05,Designer Jeans,2,182.59,205,Apparel,West
2023-01-05,Coffee Table,0,0.0,58,Furniture,Central
2023-01-05,Office Desk,4,1507.38,66,Furniture,North
2023-01-05,Yoga Mat,7,267.2,137,Health,North
2023-01-05,Office Desk,0,0.0,41,Furniture,South
2023-01-05,Multivitamins,0,0.0,416,Health,Central
2023-01-06,Designer Jeans,5,429.16,191,Apparel,Central
2023-01-06,Ergonomic Chair,1,252.84,80,Furniture,North
2023-01-06,SmartPhone X,2,1622.42,132,Electronics,East
2023-01-06,Protein Powder,1,40.92,309,Health,South
2023-01-06,Coffee Table,5,835.22,55,Furniture,West
2023-01-06,Wireless Earbuds,1,144.68,196,Electronics,East
2023-01-06,Designer Jeans,0,0.0,210,Apparel,Central
2023-01-06,Winter Jacket,15,2300.92,111,Apparel,West
2023-01-06,Coffee Table,2,342.45,52,Furniture,West
2023-01-06,Winter Jacket,15,2400.73,101,Apparel,North
2023-01-06,Multivitamins,3,77.25,401,Health,East
2023-01-06,Protein Powder,2,77.41,315,Health,South
2023-01-06,Designer Jeans,1,82.69,211,Apparel,East
2023-01-06,Designer Jeans,4,347.63,214,Apparel,North
2023-01-06,Running Shoes,4,488.72,160,Apparel,West
2023-01-06,Protein Powder,0,0.0,293,Health,West
2023-01-06,Yoga Mat,4,141.04,113,Health,North
2023-01-06,Multivitamins,0,0.0,415,Health,East
2023-01-06,Coffee Table,4,713.85,34,Furniture,East
2023-01-07,Laptop Pro,2,2465.97,88,Electronics,North
2023-01-07,SmartPhone X,1,802.61,138,Electronics,West
2023-01-07,SmartPhone X,2,1694.46,127,Electronics,North
2023-01-07,Protein Powder,5,190.03,313,Health,North
2023-01-07,Winter Jacket,12,1759.06,97,Apparel,East
2023-01-07,Protein Powder,4,145.86,313,Health,South
2023-01-07,Winter Jacket,0,0.0,118,Apparel,South
2023-01-07,Coffee Table,4,750.9,36,Furniture,West
2023-01-07,Yoga Mat,4,143.87,137,Health,East
2023-01-07,Multivitamins,5,128.93,391,Health,West
2023-01-07,Wireless Earbuds,4,627.6,190,Electronics,North
2023-01-07,Coffee Table,2,378.56,53,Furniture,East
2023-01-07,SmartPhone X,4,2940.26,138,Electronics,Central
2023-01-08,Running Shoes,4,477.52,164,Apparel,South
2023-01-08,Laptop Pro,4,4774.53,69,Electronics,West
2023-01-08,Wireless Earbuds,4,587.82,197,Electronics,East
2023-01-08,Running Shoes,4,492.97,140,Apparel,Central
2023-01-08,Laptop Pro,3,3509.72,94,Electronics,West
2023-01-08,Designer Jeans,2,180.11,188,Apparel,East
2023-01-08,Office Desk,6,2166.65,42,Furniture,East
2023-01-08,Ergonomic Chair,6,1633.17,60,Furniture,North
2023-01-08,SmartPhone X,0,0.0,135,Electronics,Central
2023-01-08,Yoga Mat,3,106.58,126,Health,South
2023-01-08,Designer Jeans,2,185.16,188,Apparel,North
2023-01-08,Coffee Table,2,383.09,40,Furniture,East
2023-01-08,Wireless Earbuds,2,319.23,195,Electronics,South
2023-01-09,Office Desk,1,317.73,56,Furniture,Central
2023-01-09,SmartPhone X,2,1547.7,134,Electronics,West
2023-01-09,Protein Powder,6,234.5,296,Health,Central
2023-01-09,Running Shoes,1,114.26,144,Apparel,East
2023-01-09,Protein Powder,3,124.63,304,Health,South
2023-01-09,Wireless Earbuds,6,942.31,208,Electronics,North
2023-01-09,Laptop Pro,7,8480.59,73,Electronics,North
2023-01-09,Ergonomic Chair,7,1773.98,61,Furniture,West
2023-01-09,Ergonomic Chair,0,0.0,62,Furniture,West
2023-01-09,Yoga Mat,1,33.25,132,Health,South
2023-01-09,Office Desk,5,1900.77,43,Furniture,South
2023-01-09,Multivitamins,0,0.0,408,Health,East
2023-01-09,Ergonomic Chair,7,1658.38,88,Furniture,East
2023-01-09,Office Desk,0,0.0,58,Furniture,South
2023-01-09,Wireless Earbuds,7,1012.21,214,Electronics,East
2023-01-09,Office Desk,2,684.49,50,Furniture,East
2023-01-09,Laptop Pro,7,8983.2,77,Electronics,North
2023-01-09,Coffee Table,5,982.22,48,Furniture,Central
2023-01-09,Multivitamins,2,49.93,401,Health,East
2023-01-09,Laptop Pro,4,4408.04,80,Electronics,East
2023-01-09,Ergonomic Chair,7,1768.8,79,Furniture,North
2023-01-09,Ergonomic Chair,3,816.93,74,Furniture,South
2023-01-09,Multivitamins,7,161.47,406,Health,North
2023-01-09,Designer Jeans,5,494.63,213,Apparel,Central
2023-01-10,Winter Jacket,6,1034.44,99,Apparel,Central
2023-01-10,Wireless Earbuds,1,164.06,196,Electronics,Central
2023-01-10,Running Shoes,0,0.0,144,Apparel,East
2023-01-10,Office Desk,6,1920.56,56,Furniture,West
2023-01-10,Wireless Earbuds,1,137.44,192,Electronics,West
2023-01-10,Protein Powder,4,175.57,302,Health,Central
2023-01-10,Designer Jeans,0,0.0,204,Apparel,East
2023-01-10,Laptop Pro,5,6583.2,72,Electronics,Central
2023-01-10,Wireless Earbuds,3,438.86,206,Electronics,South
2023-01-10,SmartPhone X,4,3331.25,117,Electronics,South
2023-01-10,Yoga Mat,2,64.56,110,Health,North
2023-01-10,Protein Powder,1,39.75,312,Health,West
2023-01-10,Ergonomic Chair,3,692.82,87,Furniture,South
2023-01-10,Running Shoes,7,881.03,140,Apparel,Central
2023-01-10,Winter Jacket,21,3275.91,105,Apparel,West
2023-01-10,Winter Jacket,21,3607.7,94,Apparel,South
2023-01-10,Running Shoes,4,524.47,149,Apparel,South
2023-01-10,Multivitamins,4,90.87,406,Health,North
2023-01-10,Office Desk,4,1330.84,57,Furniture,North
2023-01-11,Coffee Table,7,1265.82,37,Furniture,East
2023-01-11,Multivitamins,0,0.0,386,Health,Central
2023-01-11,Laptop Pro,4,4989.05,71,Electronics,West
2023-01-11,Ergonomic Chair,5,1136.36,70,Furniture,Central
2023-01-11,Office Desk,6,2055.7,62,Furniture,West
2023-01-11,Office Desk,4,1337.67,66,Furniture,South
2023-01-11,Office Desk,3,1042.38,64,Furniture,East
2023-01-11,Running Shoes,1,114.38,142,Apparel,West
2023-01-11,Designer Jeans,7,599.75,214,Apparel,West
2023-01-11,Coffee Table,4,652.65,37,Furniture,Central
2023-01-11,Wireless Earbuds,0,0.0,200,Electronics,East
2023-01-11,Multivitamins,2,53.23,403,Health,West
2023-01-11,Ergonomic Chair,2,522.57,73,Furniture,West
2023-01-11,Coffee Table,7,1239.4,52,Furniture,North
2023-01-11,Office Desk,1,353.61,43,Furniture,East
2023-01-11,Protein Powder,5,196.45,308,Health,East
2023-01-11,Protein Powder,0,0.0,301,Health,South
2023-01-11,Yoga Mat,0,0.0,133,Health,West
2023-01-12,SmartPhone X,7,6126.3,134,Electronics,South
2023-01-12,Office Desk,0,0.0,40,Furniture,East
2023-01-12,Designer Jeans,7,619.27,187,Apparel,West
2023-01-12,Multivitamins,4,91.13,390,Health,North
2023-01-12,Yoga Mat,0,0.0,112,Health,East
2023-01-12,Protein Powder,4,173.22,308,Health,South
2023-01-12,SmartPhone X,4,3344.72,117,Electronics,North
2023-01-12,Coffee Table,2,341.81,42,Furniture,West
2023-01-12,Winter Jacket,21,3110.8,106,Apparel,North
2023-01-12,Yoga Mat,3,99.3,124,Health,North
2023-01-12,Designer Jeans,6,552.76,214,Apparel,Central
2023-01-12,Designer Jeans,6,488.4,212,Apparel,North
2023-01-12,Designer Jeans,1,89.57,189,Apparel,Central
2023-01-12,Ergonomic Chair,1,267.61,80,Furniture,South
2023-01-12,SmartPhone X,4,2936.58,134,Electronics,East
2023-01-12,Running Shoes,7,855.11,152,Apparel,Central
2023-01-12,Wireless Earbuds,5,788.27,207,Electronics,Central
2023-01-12,Protein Powder,1,42.44,292,Health,Central
2023-01-12,Yoga Mat,4,143.28,109,Health,East
2023-01-12,SmartPhone X,4,3269.18,125,Electronics,North
2023-01-12,Protein Powder,2,86.47,305,Health,East
2023-01-12,Yoga Mat,7,245.69,131,Health,Central
2023-01-12,Protein Powder,5,200.94,302,Health,West
2023-01-12,Yoga Mat,4,148.3,117,Health,Central
2023-01-12,Yoga Mat,6,224.37,124,Health,South
2023-01-12,Running Shoes,3,357.06,139,Apparel,North
2023-01-12,Coffee Table,4,718.94,41,Furniture,Central
2023-01-12,Yoga Mat,2,70.52,130,Health,West
2023-01-12,Laptop Pro,5,6101.72,79,Electronics,West
2023-01-13,SmartPhone X,6,4492.86,111,Electronics,East
2023-01-13,Yoga Mat,6,206.29,110,Health,South
2023-01-13,Yoga Mat,1,35.71,126,Health,East
2023-01-13,Winter Jacket,6,1021.78,105,Apparel,South
2023-01-13,Wireless Earbuds,4,550.64,187,Electronics,West
2023-01-13,Multivitamins,4,99.22,410,Health,North
2023-01-13,Office Desk,1,324.01,64,Furniture,West
2023-01-13,Laptop Pro,7,7715.05,83,Electronics,East
2023-01-13,Wireless Earbuds,7,1089.43,210,Electronics,North
2023-01-13,Designer Jeans,0,0.0,187,Apparel,West
2023-01-13,Laptop Pro,6,7557.49,97,Electronics,West
2023-01-13,Yoga Mat,3,98.9,131,Health,East
2023-01-13,Laptop Pro,4,4546.67,96,Electronics,West
2023-01-13,Multivitamins,5,125.78,386,Health,West
2023-01-13,Wireless Earbuds,6,833.96,189,Electronics,Central
2023-01-13,Ergonomic Chair,5,1252.92,73,Furniture,West
2023-01-13,SmartPhone X,1,791.59,110,Electronics,Central
2023-01-13,Ergonomic Chair,2,474.25,83,Furniture,West
2023-01-13,Running Shoes,5,585.27,147,Apparel,East
2023-01-13,Running Shoes,5,578.65,144,Apparel,North
2023-01-14,SmartPhone X,7,6037.39,127,Electronics,West
2023-01-14,Yoga Mat,7,253.78,110,Health,East
2023-01-14,Office Desk,7,2449.24,53,Furniture,North
2023-01-14,Running Shoes,3,362.67,139,Apparel,East
2023-01-14,Ergonomic Chair,6,1525.96,70,Furniture,South
2023-01-14,Office Desk,2,683.03,43,Furniture,West
2023-01-14,Ergonomic Chair,4,1079.93,60,Furniture,South
2023-01-14,Multivitamins,6,149.95,390,Health,South
2023-01-14,Office Desk,4,1521.43,59,Furniture,West
2023-01-14,Laptop Pro,4,4536.32,74,Electronics,North
2023-01-14,Wireless Earbuds,5,748.17,216,Electronics,Central
2023-01-14,Yoga Mat,6,226.66,130,Health,Central
2023-01-14,Winter Jacket,6,964.71,95,Apparel,East
2023-01-14,Office Desk,4,1535.07,44,Furniture,South
2023-01-14,SmartPhone X,1,812.16,118,Electronics,East
2023-01-15,Office Desk,4,1533.02,68,Furniture,Central
2023-01-15,Ergonomic Chair,6,1566.87,88,Furniture,South
2023-01-15,Wireless Earbuds,7,1095.88,197,Electronics,West
2023-01-15,Coffee Table,6,1074.95,41,Furniture,North
2023-01-15,SmartPhone X,4,2999.71,129,Electronics,Central
2023-01-15,Designer Jeans,3,265.97,187,Apparel,East
2023-01-15,Designer Jeans,3,256.09,201,Apparel,Central
2023-01-15,Ergonomic Chair,0,0.0,64,Furniture,South
2023-01-15,Coffee Table,4,720.88,32,Furniture,Central
2023-01-15,SmartPhone X,2,1456.58,125,Electronics,West
2023-01-15,Laptop Pro,6,6673.56,90,Electronics,East
2023-01-15,Yoga Mat,1,33.76,109,Health,East
2023-01-15,Designer Jeans,3,256.75,191,Apparel,East
2023-01-16,Ergonomic Chair,0,0.0,73,Furniture,East
2023-01-16,Multivitamins,6,153.18,386,Health,North
2023-01-16,Coffee Table,0,0.0,56,Furniture,Central
2023-01-16,Coffee Table,1,166.47,52,Furniture,West
2023-01-16,Wireless Earbuds,7,988.05,189,Electronics,South
2023-01-16,Winter Jacket,6,1041.88,109,Apparel,South
2023-01-16,Office Desk,6,2237.74,43,Furniture,South
2023-01-16,SmartPhone X,2,1492.57,112,Electronics,Central
2023-01-16,Winter Jacket,6,991.72,113,Apparel,East
2023-01-16,Multivitamins,3,72.24,393,Health,North
2023-01-16,Laptop Pro,7,8707.41,75,Electronics,South
2023-01-16,SmartPhone X,5,4171.03,126,Electronics,Central
2023-01-16,Designer Jeans,4,362.86,201,Apparel,South
2023-01-16,Office Desk,0,0.0,39,Furniture,North
2023-01-16,Winter Jacket,15,2415.29,108,Apparel,Central
2023-01-16,Yoga Mat,6,198.62,114,Health,Central
2023-01-16,Yoga Mat,2,69.04,110,Health,West
2023-01-16,Wireless Earbuds,5,784.58,196,Electronics,Central
2023-01-16,Yoga Mat,3,111.17,136,Health,South
2023-01-16,Wireless Earbuds,0,0.0,193,Electronics,South
2023-01-16,Winter Jacket,9,1583.34,112,Apparel,North
2023-01-16,SmartPhone X,0,0.0,134,Electronics,North
2023-01-16,Designer Jeans,5,417.88,190,Apparel,North
2023-01-17,Coffee Table,1,189.45,55,Furniture,West
2023-01-17,Yoga Mat,0,0.0,120,Health,South
2023-01-17,Designer Jeans,3,267.68,205,Apparel,Central
2023-01-17,Protein Powder,6,240.11,292,Health,West
2023-01-17,Protein Powder,4,159.56,288,Health,Central
2023-01-17,Laptop Pro,1,1082.93,86,Electronics,East
2023-01-17,SmartPhone X,2,1620.96,133,Electronics,West
2023-01-17,Running Shoes,4,511.37,166,Apparel,Central
2023-01-17,Running Shoes,6,732.01,144,Apparel,West
2023-01-17,Designer Jeans,5,446.58,199,Apparel,West
2023-01-17,Wireless Earbuds,6,901.06,210,Electronics,Central
2023-01-17,Designer Jeans,0,0.0,213,Apparel,East
2023-01-17,Wireless Earbuds,3,487.69,190,Electronics,East
2023-01-17,Yoga Mat,6,189.97,117,Health,West
2023-01-17,Yoga Mat,0,0.0,133,Health,North
2023-01-17,Wireless Earbuds,7,1034.07,214,Electronics,Central
2023-01-17,Office Desk,6,2242.98,49,Furniture,Central
2023-01-17,Laptop Pro,5,5547.37,72,Electronics,West
2023-01-17,Laptop Pro,4,4478.9,71,Electronics,East
2023-01-17,Winter Jacket,12,2049.6,88,Apparel,South
2023-01-18,Ergonomic Chair,4,1003.77,65,Furniture,Central
2023-01-18,Designer Jeans,4,351.31,206,Apparel,West
2023-01-18,Wireless Earbuds,7,988.17,210,Electronics,Central
2023-01-18,Laptop Pro,4,4899.57,70,Electronics,West
2023-01-18,Winter Jacket,9,1450.77,98,Apparel,West
2023-01-18,Coffee Table,4,697.87,46,Furniture,South
2023-01-18,SmartPhone X,1,866.95,118,Electronics,West
2023-01-18,Wireless Earbuds,2,284.89,210,Electronics,Central
2023-01-18,Multivitamins,5,116.64,403,Health,South
2023-01-18,Wireless Earbuds,6,866.07,214,Electronics,Central
2023-01-18,Laptop Pro,4,4531.29,85,Electronics,East
2023-01-18,Laptop Pro,4,4814.57,84,Electronics,South
2023-01-18,Winter Jacket,9,1428.19,107,Apparel,West
2023-01-18,Protein Powder,4,171.54,313,Health,South
2023-01-18,Ergonomic Chair,6,1500.66,58,Furniture,West
2023-01-18,Coffee Table,5,886.82,52,Furniture,East
2023-01-18,Protein Powder,2,77.59,314,Health,South
2023-01-18,Multivitamins,0,0.0,412,Health,East
2023-01-18,Running Shoes,6,732.59,137,Apparel,North
2023-01-18,Laptop Pro,2,2377.58,69,Electronics,East
2023-01-18,Running Shoes,4,474.31,154,Apparel,West
2023-01-18,Winter Jacket,12,2021.9,91,Apparel,West
2023-01-18,Running Shoes,0,0.0,159,Apparel,Central
2023-01-18,Wireless Earbuds,5,787.99,195,Electronics,East
2023-01-18,Running Shoes,2,246.91,164,Apparel,North
2023-01-18,Yoga Mat,0,0.0,135,Health,Central
2023-01-18,SmartPhone X,1,858.72,115,Electronics,East
2023-01-18,Yoga Mat,0,0.0,110,Health,North
2023-01-18,Ergonomic Chair,6,1408.83,86,Furniture,North
2023-01-19,Ergonomic Chair,4,967.85,62,Furniture,Central
2023-01-19,Laptop Pro,2,2585.98,95,Electronics,North
2023-01-19,Multivitamins,6,137.98,406,Health,East
2023-01-19,Yoga Mat,6,222.89,122,Health,West
2023-01-19,Designer Jeans,3,294.0,207,Apparel,West
2023-01-19,Yoga Mat,4,137.38,129,Health,East
2023-01-19,Running Shoes,1,108.31,143,Apparel,West
2023-01-19,Laptop Pro,0,0.0,86,Electronics,South
2023-01-19,Wireless Earbuds,2,304.98,213,Electronics,East
2023-01-19,Designer Jeans,1,97.07,200,Apparel,East
2023-01-19,Coffee Table,4,697.22,38,Furniture,West
2023-01-19,Protein Powder,1,38.9,306,Health,West
2023-01-19,Laptop Pro,3,3689.39,73,Electronics,North
2023-01-19,Laptop Pro,7,8292.69,79,Electronics,East
2023-01-19,Ergonomic Chair,2,544.85,79,Furniture,South
2023-01-19,Winter Jacket,18,2657.8,117,Apparel,East
2023-01-19,Wireless Earbuds,6,987.37,208,Electronics,North
2023-01-19,Coffee Table,0,0.0,45,Furniture,Central
2023-01-19,Wireless Earbuds,7,1058.74,198,Electronics,East
2023-01-19,Coffee Table,7,1198.99,50,Furniture,North
2023-01-19,Ergonomic Chair,4,1066.99,61,Furniture,South
2023-01-19,Designer Jeans,1,85.9,196,Apparel,North
2023-01-20,Designer Jeans,1,90.53,195,Apparel,Central
2023-01-20,Running Shoes,3,359.86,138,Apparel,West
2023-01-20,Office Desk,0,0.0,44,Furniture,West
2023-01-20,Coffee Table,5,829.18,50,Furniture,West
2023-01-20,SmartPhone X,4,3048.76,112,Electronics,Central
2023-01-20,Yoga Mat,6,199.53,119,Health,South
2023-01-20,Running Shoes,7,839.04,146,Apparel,East
2023-01-20,Laptop Pro,0,0.0,95,Electronics,Central
2023-01-20,Ergonomic Chair,1,233.31,68,Furniture,South
2023-01-20,Office Desk,0,0.0,42,Furniture,West
2023-01-20,Running Shoes,2,227.78,157,Apparel,West
2023-01-20,Multivitamins,6,148.12,385,Health,West
2023-01-20,Office Desk,0,0.0,46,Furniture,South
2023-01-20,Ergonomic Chair,2,544.93,80,Furniture,West
2023-01-20,Yoga Mat,6,228.35,111,Health,East
2023-01-20,Multivitamins,6,141.45,385,Health,South
2023-01-20,Running Shoes,3,335.66,156,Apparel,West
2023-01-20,Winter Jacket,0,0.0,100,Apparel,West
2023-01-20,Wireless Earbuds,1,153.7,187,Electronics,East
2023-01-20,SmartPhone X,4,3100.41,114,Electronics,West
2023-01-21,Wireless Earbuds,0,0.0,196,Electronics,South
2023-01-21,Laptop Pro,6,7106.15,74,Electronics,Central
2023-01-21,Yoga Mat,2,74.47,111,Health,North
2023-01-21,Designer Jeans,2,171.8,187,Apparel,Central
2023-01-21,SmartPhone X,2,1540.67,133,Electronics,East
2023-01-21,Ergonomic Chair,0,0.0,67,Furniture,East
2023-01-21,Yoga Mat,7,242.35,121,Health,North
2023-01-21,Designer Jeans,6,567.91,206,Apparel,Central
2023-01-21,Coffee Table,0,0.0,50,Furniture,North
2023-01-21,Laptop Pro,4,5261.35,85,Electronics,Central
2023-01-22,Office Desk,7,2667.59,53,Furniture,South
2023-01-22,Ergonomic Chair,5,1374.84,83,Furniture,North
2023-01-22,Laptop Pro,4,4774.28,74,Electronics,Central
2023-01-22,Protein Powder,4,167.39,302,Health,West
2023-01-22,Protein Powder,6,262.61,306,Health,Central
2023-01-22,Office Desk,1,367.15,58,Furniture,South
2023-01-22,Office Desk,5,1734.3,65,Furniture,Central
2023-01-22,Coffee Table,5,816.66,52,Furniture,West
2023-01-22,Protein Powder,2,80.97,296,Health,Central
2023-01-22,Running Shoes,1,129.24,147,Apparel,South
2023-01-22,Ergonomic Chair,6,1482.31,80,Furniture,Central
2023-01-22,Protein Powder,5,192.61,300,Health,West
2023-01-22,SmartPhone X,3,2539.55,131,Electronics,West
2023-01-22,Laptop Pro,1,1204.84,80,Electronics,Central
2023-01-22,Running Shoes,1,108.59,146,Apparel,East
2023-01-22,Protein Powder,1,36.17,306,Health,West
2023-01-22,Laptop Pro,1,1305.38,70,Electronics,South
2023-01-22,Wireless Earbuds,5,676.42,214,Electronics,North
2023-01-23,Laptop Pro,0,0.0,88,Electronics,East
2023-01-23,Wireless Earbuds,7,1066.96,196,Electronics,Central
2023-01-23,Yoga Mat,7,258.15,131,Health,South
2023-01-23,Protein Powder,5,200.9,283,Health,West
2023-01-23,Wireless Earbuds,0,0.0,198,Electronics,Central
2023-01-23,SmartPhone X,6,4595.75,110,Electronics,North
2023-01-23,Ergonomic Chair,1,236.68,82,Furniture,South
2023-01-23,Designer Jeans,0,0.0,199,Apparel,North
2023-01-23,Ergonomic Chair,7,1613.31,82,Furniture,East
2023-01-23,Protein Powder,6,221.97,309,Health,South
2023-01-23,Office Desk,4,1480.18,48,Furniture,West
2023-01-23,Running Shoes,4,526.3,149,Apparel,East
2023-01-23,Multivitamins,6,149.02,393,Health,South
2023-01-23,Wireless Earbuds,1,140.01,204,Electronics,South
2023-01-23,Multivitamins,3,70.98,400,Health,East
2023-01-23,Yoga Mat,4,143.02,119,Health,North
2023-01-23,Laptop Pro,1,1172.18,76,Electronics,Central
2023-01-23,SmartPhone X,0,0.0,130,Electronics,East
2023-01-23,Winter Jacket,12,2035.5,108,Apparel,Central
2023-01-23,Running Shoes,5,646.05,138,Apparel,Central
2023-01-23,Winter Jacket,9,1582.53,115,Apparel,South
2023-01-23,Office Desk,2,736.15,67,Furniture,East
2023-01-23,Multivitamins,0,0.0,383,Health,South
2023-01-23,Protein Powder,4,163.93,311,Health,Central
2023-01-23,Winter Jacket,21,3422.46,100,Apparel,South
2023-01-23,Designer Jeans,4,330.59,193,Apparel,Central
2023-01-23,SmartPhone X,6,4574.98,134,Electronics,East
2023-01-23,Designer Jeans,7,572.59,186,Apparel,East
2023-01-24,Protein Powder,7,270.43,307,Health,Central
2023-01-24,Coffee Table,4,753.87,30,Furniture,North
2023-01-24,Multivitamins,6,142.58,386,Health,South
2023-01-24,Running Shoes,6,748.18,151,Apparel,Central
2023-01-24,Coffee Table,1,164.92,56,Furniture,East
2023-01-24,Running Shoes,4,527.18,153,Apparel,North
2023-01-24,SmartPhone X,6,5167.59,136,Electronics,West
2023-01-24,Protein Powder,2,85.19,306,Health,East
2023-01-24,Winter Jacket,18,2982.54,113,Apparel,Central
2023-01-24,Coffee Table,0,0.0,47,Furniture,East
